,DATE,STATION,NAME,pm10,o3,no2,rain,temp
1,2014/1/1,TH000048400,"NAKHON SAWAN, TH",93,75,27,7.234567901,21.9
2,2014/1/2,TH000048400,"NAKHON SAWAN, TH",92,78,29,7.234567901,22.5
3,2014/1/3,TH000048400,"NAKHON SAWAN, TH",96,15,26,7.234567901,24.4
4,2014/1/4,TH000048400,"NAKHON SAWAN, TH",99,65,25,7.234567901,24.7
5,2014/1/5,TH000048400,"NAKHON SAWAN, TH",89,67,29,7.234567901,24.8
6,2014/1/6,TH000048400,"NAKHON SAWAN, TH",87,78,27,7.234567901,25.7
7,2014/1/7,TH000048400,"NAKHON SAWAN, TH",104,83,21,7.234567901,26.4
8,2014/1/8,TH000048400,"NAKHON SAWAN, TH",104,53,21,7.234567901,26.4
9,2014/1/9,TH000048400,"NAKHON SAWAN, TH",99,48,21,7.234567901,25.8
10,2014/1/10,TH000048400,"NAKHON SAWAN, TH",80,61,22,7.234567901,25.1
11,2014/1/11,TH000048400,"NAKHON SAWAN, TH",68,52,20,7.234567901,24.7
12,2014/1/12,TH000048400,"NAKHON SAWAN, TH",70,49,20,7.234567901,24.6
13,2014/1/13,TH000048400,"NAKHON SAWAN, TH",65,57,16,7.234567901,23.9
14,2014/1/14,TH000048400,"NAKHON SAWAN, TH",62,60,16,7.234567901,22.3
15,2014/1/15,TH000048400,"NAKHON SAWAN, TH",61,64,16,7.234567901,21.1
16,2014/1/16,TH000048400,"NAKHON SAWAN, TH",66,58,22,7.234567901,20.8
17,2014/1/17,TH000048400,"NAKHON SAWAN, TH",79,57,17,7.234567901,21.9
18,2014/1/18,TH000048400,"NAKHON SAWAN, TH",70,77,12,7.234567901,22.1
19,2014/1/19,TH000048400,"NAKHON SAWAN, TH",65,78,16,7.234567901,20.5
20,2014/1/20,TH000048400,"NAKHON SAWAN, TH",89,57,12,7.234567901,21.6
21,2014/1/21,TH000048400,"NAKHON SAWAN, TH",87,25.80661157,8.012112403,7.234567901,20.7
22,2014/1/22,TH000048400,"NAKHON SAWAN, TH",46.40890183,76,26,7.234567901,19.1
23,2014/1/23,TH000048400,"NAKHON SAWAN, TH",98,92,31,7.234567901,18.3
24,2014/1/24,TH000048400,"NAKHON SAWAN, TH",99,18,25,7.234567901,19.4
25,2014/1/25,TH000048400,"NAKHON SAWAN, TH",129,95,17,7.234567901,20.8
26,2014/1/26,TH000048400,"NAKHON SAWAN, TH",121,19,33,7.234567901,22.4
27,2014/1/27,TH000048400,"NAKHON SAWAN, TH",100,55,28,7.234567901,23.8
28,2014/1/28,TH000048400,"NAKHON SAWAN, TH",89,62,28,7.234567901,24.6
29,2014/1/29,TH000048400,"NAKHON SAWAN, TH",81,44,26,7.234567901,25.2
30,2014/1/30,TH000048400,"NAKHON SAWAN, TH",78,68,23,7.234567901,25.3
31,2014/1/31,TH000048400,"NAKHON SAWAN, TH",73,78,22,7.234567901,25.3
32,2014/2/1,TH000048400,"NAKHON SAWAN, TH",79,81,24,7.234567901,25.1
33,2014/2/2,TH000048400,"NAKHON SAWAN, TH",81,75,19,7.234567901,27.3
34,2014/2/3,TH000048400,"NAKHON SAWAN, TH",83,66,23,7.234567901,27.6
35,2014/2/4,TH000048400,"NAKHON SAWAN, TH",80,56,15,7.234567901,28.1
36,2014/2/5,TH000048400,"NAKHON SAWAN, TH",74,53,13,7.234567901,28.5
37,2014/2/6,TH000048400,"NAKHON SAWAN, TH",63,54,15,7.234567901,28.4
38,2014/2/7,TH000048400,"NAKHON SAWAN, TH",63,59,12,7.234567901,28.1
39,2014/2/8,TH000048400,"NAKHON SAWAN, TH",60,64,15,7.234567901,28.4
40,2014/2/9,TH000048400,"NAKHON SAWAN, TH",61,96,19,7.234567901,27.3
41,2014/2/10,TH000048400,"NAKHON SAWAN, TH",68,25.80661157,8.012112403,7.234567901,26.3
42,2014/2/11,TH000048400,"NAKHON SAWAN, TH",46.40890183,25.80661157,8.012112403,7.234567901,28.1
43,2014/2/12,TH000048400,"NAKHON SAWAN, TH",46.40890183,41,13,7.234567901,28.2
44,2014/2/13,TH000048400,"NAKHON SAWAN, TH",54,25.80661157,8.012112403,7.234567901,28.4
45,2014/2/14,TH000048400,"NAKHON SAWAN, TH",46.40890183,39,20,7.234567901,28.5
46,2014/2/15,TH000048400,"NAKHON SAWAN, TH",69,72,13,7.234567901,29.3
47,2014/2/16,TH000048400,"NAKHON SAWAN, TH",56,61,9,7.234567901,29
48,2014/2/17,TH000048400,"NAKHON SAWAN, TH",56,60,11,7.234567901,29.1
49,2014/2/18,TH000048400,"NAKHON SAWAN, TH",58,58,15,7.234567901,29.3
50,2014/2/19,TH000048400,"NAKHON SAWAN, TH",66,56,13,7.234567901,29.2
51,2014/2/20,TH000048400,"NAKHON SAWAN, TH",75,76,16,7.234567901,24.6
52,2014/2/21,TH000048400,"NAKHON SAWAN, TH",69,93,20,7.234567901,26.1
53,2014/2/22,TH000048400,"NAKHON SAWAN, TH",83,88,18,7.234567901,28
54,2014/2/23,TH000048400,"NAKHON SAWAN, TH",79,76,13,7.234567901,29.4
55,2014/2/24,TH000048400,"NAKHON SAWAN, TH",65,61,12,7.234567901,29.8
56,2014/2/25,TH000048400,"NAKHON SAWAN, TH",64,72,14,7.234567901,29.4
57,2014/2/26,TH000048400,"NAKHON SAWAN, TH",63,71,9,7.234567901,29.6
58,2014/2/27,TH000048400,"NAKHON SAWAN, TH",59,67,11,7.234567901,29.6
59,2014/2/28,TH000048400,"NAKHON SAWAN, TH",59,70,12,7.234567901,29.7
60,2014/3/1,TH000048400,"NAKHON SAWAN, TH",58,77,12,7.234567901,29.8
61,2014/3/2,TH000048400,"NAKHON SAWAN, TH",60,73,15,7.234567901,30.3
62,2014/3/3,TH000048400,"NAKHON SAWAN, TH",64,61,17,7.234567901,30.3
63,2014/3/4,TH000048400,"NAKHON SAWAN, TH",73,69,16,7.234567901,30.2
64,2014/3/5,TH000048400,"NAKHON SAWAN, TH",66,72,13,7.234567901,30
65,2014/3/6,TH000048400,"NAKHON SAWAN, TH",73,72,11,7.234567901,30.3
66,2014/3/7,TH000048400,"NAKHON SAWAN, TH",62,66,16,7.234567901,29.7
67,2014/3/8,TH000048400,"NAKHON SAWAN, TH",64,70,14,7.234567901,29.5
68,2014/3/9,TH000048400,"NAKHON SAWAN, TH",69,75,11,7.234567901,30
69,2014/3/10,TH000048400,"NAKHON SAWAN, TH",76,69,12,7.234567901,29.9
70,2014/3/11,TH000048400,"NAKHON SAWAN, TH",63,25.80661157,8.012112403,7.234567901,30.9
71,2014/3/12,TH000048400,"NAKHON SAWAN, TH",46.40890183,84,16,7.234567901,31
72,2014/3/13,TH000048400,"NAKHON SAWAN, TH",66,88,12,7.234567901,31.2
73,2014/3/14,TH000048400,"NAKHON SAWAN, TH",79,66,11,7.234567901,31.9
74,2014/3/15,TH000048400,"NAKHON SAWAN, TH",65,43,15,7.234567901,31.5
75,2014/3/16,TH000048400,"NAKHON SAWAN, TH",68,25.80661157,8.012112403,0,31.3
76,2014/3/17,TH000048400,"NAKHON SAWAN, TH",46.40890183,25.80661157,8.012112403,22.9,28.6
77,2014/3/18,TH000048400,"NAKHON SAWAN, TH",46.40890183,25.80661157,8.012112403,0,30.9
78,2014/3/19,TH000048400,"NAKHON SAWAN, TH",46.40890183,73,15,7.234567901,31.4
79,2014/3/20,TH000048400,"NAKHON SAWAN, TH",62,76,9,7.234567901,31.7
80,2014/3/21,TH000048400,"NAKHON SAWAN, TH",66,44,5,7.234567901,30.8
81,2014/3/22,TH000048400,"NAKHON SAWAN, TH",61,76,13,0,28.2
82,2014/3/23,TH000048400,"NAKHON SAWAN, TH",48,81,14,0,29
83,2014/3/24,TH000048400,"NAKHON SAWAN, TH",60,66,15,7.234567901,30.7
84,2014/3/25,TH000048400,"NAKHON SAWAN, TH",66,69,14,1.5,29.4
85,2014/3/26,TH000048400,"NAKHON SAWAN, TH",58,79,9,7.234567901,32.1
86,2014/3/27,TH000048400,"NAKHON SAWAN, TH",62,80,11,7.234567901,32.6
87,2014/3/28,TH000048400,"NAKHON SAWAN, TH",59,91,9,7.234567901,32.2
88,2014/3/29,TH000048400,"NAKHON SAWAN, TH",59,68,7,7.234567901,31.8
89,2014/3/30,TH000048400,"NAKHON SAWAN, TH",58,64,11,7.234567901,32.4
90,2014/3/31,TH000048400,"NAKHON SAWAN, TH",48,81,13,7.234567901,32.9
91,2014/4/1,TH000048400,"NAKHON SAWAN, TH",55,127,10,7.234567901,32.7
92,2014/4/2,TH000048400,"NAKHON SAWAN, TH",58,50,8,7.234567901,32.4
93,2014/4/3,TH000048400,"NAKHON SAWAN, TH",63,33,9,7.234567901,31.8
94,2014/4/4,TH000048400,"NAKHON SAWAN, TH",61,50,9,64.5,26.9
95,2014/4/5,TH000048400,"NAKHON SAWAN, TH",43,49,12,7.234567901,28.4
96,2014/4/6,TH000048400,"NAKHON SAWAN, TH",49,54,11,7.234567901,30.3
97,2014/4/7,TH000048400,"NAKHON SAWAN, TH",65,69,12,7.234567901,31.2
98,2014/4/8,TH000048400,"NAKHON SAWAN, TH",65,57,14,7.234567901,31.4
99,2014/4/9,TH000048400,"NAKHON SAWAN, TH",76,58,11,7.234567901,32.1
100,2014/4/10,TH000048400,"NAKHON SAWAN, TH",79,53,12,7.234567901,32.6
101,2014/4/11,TH000048400,"NAKHON SAWAN, TH",77,59,11,7.234567901,31.5
102,2014/4/12,TH000048400,"NAKHON SAWAN, TH",69,70,10,7.234567901,29.6
103,2014/4/13,TH000048400,"NAKHON SAWAN, TH",51,68,10,7.234567901,30.6
104,2014/4/14,TH000048400,"NAKHON SAWAN, TH",53,25.80661157,8.012112403,85.6,28.4
105,2014/4/15,TH000048400,"NAKHON SAWAN, TH",46.40890183,53,1,1.8,28.6
106,2014/4/16,TH000048400,"NAKHON SAWAN, TH",31,45,7,0,29.8
107,2014/4/17,TH000048400,"NAKHON SAWAN, TH",37,43,10,7.234567901,31.6
108,2014/4/18,TH000048400,"NAKHON SAWAN, TH",52,54,10,7.234567901,32.7
109,2014/4/19,TH000048400,"NAKHON SAWAN, TH",57,51,10,7.234567901,32.6
110,2014/4/20,TH000048400,"NAKHON SAWAN, TH",55,39,12,7.234567901,32.7
111,2014/4/21,TH000048400,"NAKHON SAWAN, TH",52,36,14,7.234567901,32.4
112,2014/4/22,TH000048400,"NAKHON SAWAN, TH",50,25,9,7.234567901,33.2
113,2014/4/23,TH000048400,"NAKHON SAWAN, TH",51,24,8,1.5,31.8
114,2014/4/24,TH000048400,"NAKHON SAWAN, TH",46,25,14,4.3,30.1
115,2014/4/25,TH000048400,"NAKHON SAWAN, TH",38,26,11,7.234567901,31.5
116,2014/4/26,TH000048400,"NAKHON SAWAN, TH",45,55,12,7.234567901,33.3
117,2014/4/27,TH000048400,"NAKHON SAWAN, TH",49,52,10,7.234567901,33.1
118,2014/4/28,TH000048400,"NAKHON SAWAN, TH",46,76,8,8.6,31.5
119,2014/4/29,TH000048400,"NAKHON SAWAN, TH",34,25.80661157,8.012112403,3.3,29.4
120,2014/4/30,TH000048400,"NAKHON SAWAN, TH",46.40890183,45,14,40.6,29.4
121,2014/5/1,TH000048400,"NAKHON SAWAN, TH",41,47,13,24.4,29.9
122,2014/5/2,TH000048400,"NAKHON SAWAN, TH",35,39,12,7.234567901,30.2
123,2014/5/3,TH000048400,"NAKHON SAWAN, TH",51,59,16,0,28.3
124,2014/5/4,TH000048400,"NAKHON SAWAN, TH",40,56,11,7.234567901,30.9
125,2014/5/5,TH000048400,"NAKHON SAWAN, TH",42,63,12,7.234567901,31.8
126,2014/5/6,TH000048400,"NAKHON SAWAN, TH",36,60,7,10.9,29.3
127,2014/5/7,TH000048400,"NAKHON SAWAN, TH",26,48,12,0.8,29.3
128,2014/5/8,TH000048400,"NAKHON SAWAN, TH",30,39,8,0,31.3
129,2014/5/9,TH000048400,"NAKHON SAWAN, TH",29,33,10,1,31.1
130,2014/5/10,TH000048400,"NAKHON SAWAN, TH",52,41,7,4.3,31.1
131,2014/5/11,TH000048400,"NAKHON SAWAN, TH",37,41,11,7.234567901,30.4
132,2014/5/12,TH000048400,"NAKHON SAWAN, TH",20,43,8,7.234567901,32
133,2014/5/13,TH000048400,"NAKHON SAWAN, TH",24,52,16,9.9,30.3
134,2014/5/14,TH000048400,"NAKHON SAWAN, TH",27,45,11,4.1,31.2
135,2014/5/15,TH000048400,"NAKHON SAWAN, TH",32,42,15,0,31.6
136,2014/5/16,TH000048400,"NAKHON SAWAN, TH",31,51,10,7.234567901,32.4
137,2014/5/17,TH000048400,"NAKHON SAWAN, TH",38,43,8,7.234567901,32.7
138,2014/5/18,TH000048400,"NAKHON SAWAN, TH",35,39,9,28.4,29.2
139,2014/5/19,TH000048400,"NAKHON SAWAN, TH",22,32,8,20.8,29.1
140,2014/5/20,TH000048400,"NAKHON SAWAN, TH",19,32,10,0,30.6
141,2014/5/21,TH000048400,"NAKHON SAWAN, TH",20,28,9,7.234567901,31.2
142,2014/5/22,TH000048400,"NAKHON SAWAN, TH",25,32,7,7.234567901,30.8
143,2014/5/23,TH000048400,"NAKHON SAWAN, TH",25,37,11,7.234567901,31.1
144,2014/5/24,TH000048400,"NAKHON SAWAN, TH",29,37,10,7.234567901,32.2
145,2014/5/25,TH000048400,"NAKHON SAWAN, TH",39,65,13,7.234567901,32.9
146,2014/5/26,TH000048400,"NAKHON SAWAN, TH",42,49,13,7.234567901,30.7
147,2014/5/27,TH000048400,"NAKHON SAWAN, TH",46.40890183,34,9,8.6,30.4
148,2014/5/28,TH000048400,"NAKHON SAWAN, TH",27,36,10,0.3,29.7
149,2014/5/29,TH000048400,"NAKHON SAWAN, TH",26,33,10,0,29.8
150,2014/5/30,TH000048400,"NAKHON SAWAN, TH",21,36,12,7.234567901,30.8
151,2014/5/31,TH000048400,"NAKHON SAWAN, TH",29,37,7,2.3,30.9
152,2014/6/1,TH000048400,"NAKHON SAWAN, TH",29,32,10,19.3,29.3
153,2014/6/2,TH000048400,"NAKHON SAWAN, TH",21,39,8,7.234567901,30.3
154,2014/6/3,TH000048400,"NAKHON SAWAN, TH",21,34,12,1.5,31.3
155,2014/6/4,TH000048400,"NAKHON SAWAN, TH",20,32,8,7.234567901,31.7
156,2014/6/5,TH000048400,"NAKHON SAWAN, TH",21,25,8,17,30.6
157,2014/6/6,TH000048400,"NAKHON SAWAN, TH",20,26,7,7.234567901,30.5
158,2014/6/7,TH000048400,"NAKHON SAWAN, TH",20,28,5,7.234567901,30
159,2014/6/8,TH000048400,"NAKHON SAWAN, TH",17,19,7,6.6,29.5
160,2014/6/9,TH000048400,"NAKHON SAWAN, TH",17,23,7,5.6,30.2
161,2014/6/10,TH000048400,"NAKHON SAWAN, TH",19,24,8,7.234567901,31.2
162,2014/6/11,TH000048400,"NAKHON SAWAN, TH",18,31,7,54.9,29.4
163,2014/6/12,TH000048400,"NAKHON SAWAN, TH",26,39,8,0.5,29.8
164,2014/6/13,TH000048400,"NAKHON SAWAN, TH",31,28,7,7.234567901,30.1
165,2014/6/14,TH000048400,"NAKHON SAWAN, TH",33,25.80661157,8.012112403,5.3,28.9
166,2014/6/15,TH000048400,"NAKHON SAWAN, TH",46.40890183,37,6,0,29.4
167,2014/6/16,TH000048400,"NAKHON SAWAN, TH",28,37,7,1,29.5
168,2014/6/17,TH000048400,"NAKHON SAWAN, TH",26,26,6,0.5,29.8
169,2014/6/18,TH000048400,"NAKHON SAWAN, TH",26,31,6,0,30.4
170,2014/6/19,TH000048400,"NAKHON SAWAN, TH",26,24,10,7.234567901,30.3
171,2014/6/20,TH000048400,"NAKHON SAWAN, TH",54,23,7,10.4,29.4
172,2014/6/21,TH000048400,"NAKHON SAWAN, TH",57,23,7,0.5,30.3
173,2014/6/22,TH000048400,"NAKHON SAWAN, TH",48,25,7,7.234567901,30.6
174,2014/6/23,TH000048400,"NAKHON SAWAN, TH",37,27,8,7.234567901,30.3
175,2014/6/24,TH000048400,"NAKHON SAWAN, TH",30,31,7,0,29.7
176,2014/6/25,TH000048400,"NAKHON SAWAN, TH",36,33,8,8.6,28.4
177,2014/6/26,TH000048400,"NAKHON SAWAN, TH",31,29,12,0,27.9
178,2014/6/27,TH000048400,"NAKHON SAWAN, TH",34,38,8,0,30.7
179,2014/6/28,TH000048400,"NAKHON SAWAN, TH",40,25.80661157,8.012112403,0.5,30.2
180,2014/6/29,TH000048400,"NAKHON SAWAN, TH",46.40890183,29,12,28.4,29
181,2014/6/30,TH000048400,"NAKHON SAWAN, TH",33,31,8,7.234567901,28.7
182,2014/7/1,TH000048400,"NAKHON SAWAN, TH",34,30,7,0.5,28.6
183,2014/7/2,TH000048400,"NAKHON SAWAN, TH",26,31,7,0,30.9
184,2014/7/3,TH000048400,"NAKHON SAWAN, TH",25,45,7,7.234567901,30.8
185,2014/7/4,TH000048400,"NAKHON SAWAN, TH",26,28,7,3.6,29.6
186,2014/7/5,TH000048400,"NAKHON SAWAN, TH",26,26,9,1.3,30.8
187,2014/7/6,TH000048400,"NAKHON SAWAN, TH",31,24,6,0,31.1
188,2014/7/7,TH000048400,"NAKHON SAWAN, TH",27,19,6,7.234567901,30.7
189,2014/7/8,TH000048400,"NAKHON SAWAN, TH",29,19,4,1.5,30.1
190,2014/7/9,TH000048400,"NAKHON SAWAN, TH",24,20,4,0,29.9
191,2014/7/10,TH000048400,"NAKHON SAWAN, TH",15,25.80661157,8.012112403,5.6,28.7
192,2014/7/11,TH000048400,"NAKHON SAWAN, TH",46.40890183,22,4,7.234567901,30.8
193,2014/7/12,TH000048400,"NAKHON SAWAN, TH",21,23,5,7.234567901,30.9
194,2014/7/13,TH000048400,"NAKHON SAWAN, TH",23,21,5,10.4,28.7
195,2014/7/14,TH000048400,"NAKHON SAWAN, TH",15,21,6,2.5,28.1
196,2014/7/15,TH000048400,"NAKHON SAWAN, TH",21,26,7,12.7,28.1
197,2014/7/16,TH000048400,"NAKHON SAWAN, TH",26,23,7,1.8,27.8
198,2014/7/17,TH000048400,"NAKHON SAWAN, TH",27,16,4,11.2,28.6
199,2014/7/18,TH000048400,"NAKHON SAWAN, TH",25,15,4,0.3,29.4
200,2014/7/19,TH000048400,"NAKHON SAWAN, TH",26,20,4,1.8,27.8
201,2014/7/20,TH000048400,"NAKHON SAWAN, TH",29,17,6,3.3,27.9
202,2014/7/21,TH000048400,"NAKHON SAWAN, TH",36,17,9,0.5,28.8
203,2014/7/22,TH000048400,"NAKHON SAWAN, TH",37,16,5,2.8,29.1
204,2014/7/23,TH000048400,"NAKHON SAWAN, TH",46,24,6,7.234567901,29.7
205,2014/7/24,TH000048400,"NAKHON SAWAN, TH",30,25.80661157,8.012112403,0.8,29.5
206,2014/7/25,TH000048400,"NAKHON SAWAN, TH",46.40890183,14,2,7.234567901,29.2
207,2014/7/26,TH000048400,"NAKHON SAWAN, TH",46.40890183,20,5,7.234567901,29.3
208,2014/7/27,TH000048400,"NAKHON SAWAN, TH",23,17,6,7.234567901,27.9
209,2014/7/28,TH000048400,"NAKHON SAWAN, TH",31,20,6,0.3,28.1
210,2014/7/29,TH000048400,"NAKHON SAWAN, TH",37,23,5,8.9,29.9
211,2014/7/30,TH000048400,"NAKHON SAWAN, TH",34,18,5,31.5,27.8
212,2014/7/31,TH000048400,"NAKHON SAWAN, TH",38,18,5,0.3,29.4
213,2014/8/1,TH000048400,"NAKHON SAWAN, TH",34,17,7,2,29.2
214,2014/8/2,TH000048400,"NAKHON SAWAN, TH",36,17,5,1.5,28.8
215,2014/8/3,TH000048400,"NAKHON SAWAN, TH",35,18,4,7.234567901,29.4
216,2014/8/4,TH000048400,"NAKHON SAWAN, TH",35,26,7,10.9,28.8
217,2014/8/5,TH000048400,"NAKHON SAWAN, TH",26,29,8,0.5,28.9
218,2014/8/6,TH000048400,"NAKHON SAWAN, TH",37,29,6,9.4,27.3
219,2014/8/7,TH000048400,"NAKHON SAWAN, TH",27,28,5,2.8,27.8
220,2014/8/8,TH000048400,"NAKHON SAWAN, TH",20,21,7,2.5,27.9
221,2014/8/9,TH000048400,"NAKHON SAWAN, TH",20,31,7,1,28.8
222,2014/8/10,TH000048400,"NAKHON SAWAN, TH",23,27,5,0,29.4
223,2014/8/11,TH000048400,"NAKHON SAWAN, TH",24,24,5,10.2,29
224,2014/8/12,TH000048400,"NAKHON SAWAN, TH",20,23,7,0.8,29.6
225,2014/8/13,TH000048400,"NAKHON SAWAN, TH",22,28,7,0.5,29.7
226,2014/8/14,TH000048400,"NAKHON SAWAN, TH",31,35,9,3.8,28.4
227,2014/8/15,TH000048400,"NAKHON SAWAN, TH",29,26,5,0.3,28.7
228,2014/8/16,TH000048400,"NAKHON SAWAN, TH",28,13,7,3.3,27.9
229,2014/8/17,TH000048400,"NAKHON SAWAN, TH",20,21,5,0,30.6
230,2014/8/18,TH000048400,"NAKHON SAWAN, TH",31,37,9,7.234567901,29.9
231,2014/8/19,TH000048400,"NAKHON SAWAN, TH",25,25.80661157,8.012112403,3.3,28.2
232,2014/8/20,TH000048400,"NAKHON SAWAN, TH",46.40890183,29,7,133.9,26.8
233,2014/8/21,TH000048400,"NAKHON SAWAN, TH",22,34,8,3.3,28.1
234,2014/8/22,TH000048400,"NAKHON SAWAN, TH",23,38,10,0.8,28.3
235,2014/8/23,TH000048400,"NAKHON SAWAN, TH",29,35,6,0.5,27.9
236,2014/8/24,TH000048400,"NAKHON SAWAN, TH",29,33,7,0,29
237,2014/8/25,TH000048400,"NAKHON SAWAN, TH",23,31,9,0,29.6
238,2014/8/26,TH000048400,"NAKHON SAWAN, TH",26,34,9,0,28.4
239,2014/8/27,TH000048400,"NAKHON SAWAN, TH",35,40,6,0,27.8
240,2014/8/28,TH000048400,"NAKHON SAWAN, TH",32,27,8,0.8,27.5
241,2014/8/29,TH000048400,"NAKHON SAWAN, TH",25,21,7,0.3,27.7
242,2014/8/30,TH000048400,"NAKHON SAWAN, TH",24,23,7,20.3,26.6
243,2014/8/31,TH000048400,"NAKHON SAWAN, TH",21,25,5,7.6,26.9
244,2014/9/1,TH000048400,"NAKHON SAWAN, TH",18,15,3,8.1,27.8
245,2014/9/2,TH000048400,"NAKHON SAWAN, TH",15,19,10,36.6,26.8
246,2014/9/3,TH000048400,"NAKHON SAWAN, TH",36,24,8,3.3,27
247,2014/9/4,TH000048400,"NAKHON SAWAN, TH",29,24,7,8.6,27.3
248,2014/9/5,TH000048400,"NAKHON SAWAN, TH",32,29,6,3.6,27.6
249,2014/9/6,TH000048400,"NAKHON SAWAN, TH",34,33,5,0.5,28.3
250,2014/9/7,TH000048400,"NAKHON SAWAN, TH",25,37,6,9.1,27.9
251,2014/9/8,TH000048400,"NAKHON SAWAN, TH",23,35,9,3,28.9
252,2014/9/9,TH000048400,"NAKHON SAWAN, TH",29,35,10,0,29.2
253,2014/9/10,TH000048400,"NAKHON SAWAN, TH",31,41,8,0.5,28.8
254,2014/9/11,TH000048400,"NAKHON SAWAN, TH",35,37,6,10.4,27.9
255,2014/9/12,TH000048400,"NAKHON SAWAN, TH",28,33,7,3.3,28.4
256,2014/9/13,TH000048400,"NAKHON SAWAN, TH",28,33,7,0,29.1
257,2014/9/14,TH000048400,"NAKHON SAWAN, TH",29,36,5,0.8,28.4
258,2014/9/15,TH000048400,"NAKHON SAWAN, TH",26,26,10,7.234567901,29.2
259,2014/9/16,TH000048400,"NAKHON SAWAN, TH",26,25,5,7.234567901,29.3
260,2014/9/17,TH000048400,"NAKHON SAWAN, TH",24,31,5,7.234567901,29.8
261,2014/9/18,TH000048400,"NAKHON SAWAN, TH",19,32,11,0.3,28.5
262,2014/9/19,TH000048400,"NAKHON SAWAN, TH",26,31,9,7.234567901,29.3
263,2014/9/20,TH000048400,"NAKHON SAWAN, TH",32,31,7,7.234567901,30.2
264,2014/9/21,TH000048400,"NAKHON SAWAN, TH",30,27,6,7.234567901,29.9
265,2014/9/22,TH000048400,"NAKHON SAWAN, TH",30,38,9,4.3,28.3
266,2014/9/23,TH000048400,"NAKHON SAWAN, TH",38,32,8,0.5,29.5
267,2014/9/24,TH000048400,"NAKHON SAWAN, TH",36,26,10,1.5,27.8
268,2014/9/25,TH000048400,"NAKHON SAWAN, TH",26,29,9,17.5,26.7
269,2014/9/26,TH000048400,"NAKHON SAWAN, TH",29,39,6,17,28
270,2014/9/27,TH000048400,"NAKHON SAWAN, TH",27,28,3,0,29.5
271,2014/9/28,TH000048400,"NAKHON SAWAN, TH",27,46,12,7.234567901,29.6
272,2014/9/29,TH000048400,"NAKHON SAWAN, TH",34,36,6,13.5,27.4
273,2014/9/30,TH000048400,"NAKHON SAWAN, TH",31,34,9,0.5,27.8
274,2014/10/1,TH000048400,"NAKHON SAWAN, TH",27,34,4,4.3,28.3
275,2014/10/2,TH000048400,"NAKHON SAWAN, TH",26,41,13,0.5,27
276,2014/10/3,TH000048400,"NAKHON SAWAN, TH",33,48,14,7.234567901,28.5
277,2014/10/4,TH000048400,"NAKHON SAWAN, TH",44,25.80661157,8.012112403,7.234567901,29.3
278,2014/10/5,TH000048400,"NAKHON SAWAN, TH",46.40890183,29,4,8.6,28.6
279,2014/10/6,TH000048400,"NAKHON SAWAN, TH",34,51,17,11.2,27.1
280,2014/10/7,TH000048400,"NAKHON SAWAN, TH",47,48,11,0,27.4
281,2014/10/8,TH000048400,"NAKHON SAWAN, TH",61,35,6,3,27.3
282,2014/10/9,TH000048400,"NAKHON SAWAN, TH",46,34,8,0.3,27.3
283,2014/10/10,TH000048400,"NAKHON SAWAN, TH",26,33,6,26.9,28.4
284,2014/10/11,TH000048400,"NAKHON SAWAN, TH",24,41,11,2.3,27.4
285,2014/10/12,TH000048400,"NAKHON SAWAN, TH",31,47,15,0.3,27.2
286,2014/10/13,TH000048400,"NAKHON SAWAN, TH",64,54,15,0,28
287,2014/10/14,TH000048400,"NAKHON SAWAN, TH",66,52,17,7.234567901,27.9
288,2014/10/15,TH000048400,"NAKHON SAWAN, TH",67,52,18,7.234567901,27.1
289,2014/10/16,TH000048400,"NAKHON SAWAN, TH",71,43,16,7.234567901,27.2
290,2014/10/17,TH000048400,"NAKHON SAWAN, TH",69,45,13,0,28.2
291,2014/10/18,TH000048400,"NAKHON SAWAN, TH",56,36,11,0,28.3
292,2014/10/19,TH000048400,"NAKHON SAWAN, TH",50,31,7,7.234567901,28.7
293,2014/10/20,TH000048400,"NAKHON SAWAN, TH",41,29,5,35.8,27.2
294,2014/10/21,TH000048400,"NAKHON SAWAN, TH",23,33,5,0,27.1
295,2014/10/22,TH000048400,"NAKHON SAWAN, TH",18,30,3,0,28
296,2014/10/23,TH000048400,"NAKHON SAWAN, TH",18,23,5,0,27.2
297,2014/10/24,TH000048400,"NAKHON SAWAN, TH",20,34,7,3.3,26.9
298,2014/10/25,TH000048400,"NAKHON SAWAN, TH",21,12,19,0.3,28.2
299,2014/10/26,TH000048400,"NAKHON SAWAN, TH",28,25.80661157,8.012112403,1.3,28.1
300,2014/10/27,TH000048400,"NAKHON SAWAN, TH",46.40890183,18,18,7.234567901,29.1
301,2014/10/28,TH000048400,"NAKHON SAWAN, TH",43,27,8,7.234567901,28.9
302,2014/10/29,TH000048400,"NAKHON SAWAN, TH",37,30,10,3.3,27.8
303,2014/10/30,TH000048400,"NAKHON SAWAN, TH",29,32,9,17,27.5
304,2014/10/31,TH000048400,"NAKHON SAWAN, TH",31,29,10,1.8,29
305,2014/11/1,TH000048400,"NAKHON SAWAN, TH",35,27,11,0,29.3
306,2014/11/2,TH000048400,"NAKHON SAWAN, TH",28,30,10,7.234567901,29.4
307,2014/11/3,TH000048400,"NAKHON SAWAN, TH",31,34,10,7.234567901,28.3
308,2014/11/4,TH000048400,"NAKHON SAWAN, TH",33,27,7,0.5,27.4
