"","DATE","STATION","NAME","rain","temp"
"76",2013-10-17,"COM00080112","JOSE MARIA CORDOVA, CO",3,16.6
"77",2013-10-18,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.6
"78",2013-10-19,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.4
"79",2013-10-20,"COM00080112","JOSE MARIA CORDOVA, CO",1,17.4
"80",2013-10-21,"COM00080112","JOSE MARIA CORDOVA, CO",9.9,16.8
"81",2013-10-22,"COM00080112","JOSE MARIA CORDOVA, CO",25.9,16.2
"82",2013-10-23,"COM00080112","JOSE MARIA CORDOVA, CO",0,17
"83",2013-10-24,"COM00080112","JOSE MARIA CORDOVA, CO",1,17.1
"84",2013-10-25,"COM00080112","JOSE MARIA CORDOVA, CO",0.8,17.8
"85",2013-10-26,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.9
"86",2013-10-27,"COM00080112","JOSE MARIA CORDOVA, CO",0.3,16.8
"87",2013-10-28,"COM00080112","JOSE MARIA CORDOVA, CO",6.1,17
"88",2013-10-29,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.1
"89",2013-10-30,"COM00080112","JOSE MARIA CORDOVA, CO",1,15.5
"90",2013-10-31,"COM00080112","JOSE MARIA CORDOVA, CO",6.1,15.8
"91",2013-11-01,"COM00080112","JOSE MARIA CORDOVA, CO",0,15.7
"92",2013-11-02,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,15.8
"93",2013-11-03,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,14.6
"94",2013-11-04,"COM00080112","JOSE MARIA CORDOVA, CO",7.9,15.3
"95",2013-11-05,"COM00080112","JOSE MARIA CORDOVA, CO",41.9,15.7
"96",2013-11-06,"COM00080112","JOSE MARIA CORDOVA, CO",3,16
"97",2013-11-07,"COM00080112","JOSE MARIA CORDOVA, CO",17,15.2
"98",2013-11-08,"COM00080112","JOSE MARIA CORDOVA, CO",2,15.7
"99",2013-11-09,"COM00080112","JOSE MARIA CORDOVA, CO",20.1,15.9
"100",2013-11-10,"COM00080112","JOSE MARIA CORDOVA, CO",2,16.1
"101",2013-11-11,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.3
"102",2013-11-12,"COM00080112","JOSE MARIA CORDOVA, CO",3,18
"103",2013-11-13,"COM00080112","JOSE MARIA CORDOVA, CO",7.9,16.8
"104",2013-11-14,"COM00080112","JOSE MARIA CORDOVA, CO",6.1,17.7
"105",2013-11-15,"COM00080112","JOSE MARIA CORDOVA, CO",23.1,17.6
"106",2013-11-16,"COM00080112","JOSE MARIA CORDOVA, CO",2,18.1
"107",2013-11-17,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.9
"108",2013-11-18,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.6
"109",2013-11-19,"COM00080112","JOSE MARIA CORDOVA, CO",4.1,16.2
"110",2013-11-20,"COM00080112","JOSE MARIA CORDOVA, CO",16,15.6
"111",2013-11-21,"COM00080112","JOSE MARIA CORDOVA, CO",9.9,16.8
"112",2013-11-22,"COM00080112","JOSE MARIA CORDOVA, CO",0,15.8
"113",2013-11-23,"COM00080112","JOSE MARIA CORDOVA, CO",4.1,16
"114",2013-11-24,"COM00080112","JOSE MARIA CORDOVA, CO",1,14.9
"115",2013-11-25,"COM00080112","JOSE MARIA CORDOVA, CO",11.9,14.9
"116",2013-11-26,"COM00080112","JOSE MARIA CORDOVA, CO",6.1,16.1
"117",2013-11-27,"COM00080112","JOSE MARIA CORDOVA, CO",0,15.6
"118",2013-11-28,"COM00080112","JOSE MARIA CORDOVA, CO",0.5,15.4
"119",2013-11-29,"COM00080112","JOSE MARIA CORDOVA, CO",0.3,15.1
"120",2013-11-30,"COM00080112","JOSE MARIA CORDOVA, CO",20.1,14.8
"121",2013-12-01,"COM00080112","JOSE MARIA CORDOVA, CO",26.9,15.5
"122",2013-12-02,"COM00080112","JOSE MARIA CORDOVA, CO",45,15.5
"123",2013-12-03,"COM00080112","JOSE MARIA CORDOVA, CO",4.1,15.3
"124",2013-12-04,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.7
"125",2013-12-05,"COM00080112","JOSE MARIA CORDOVA, CO",3,17.5
"126",2013-12-06,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.1
"127",2013-12-07,"COM00080112","JOSE MARIA CORDOVA, CO",10.9,16.2
"128",2013-12-08,"COM00080112","JOSE MARIA CORDOVA, CO",0.5,15.1
"129",2013-12-09,"COM00080112","JOSE MARIA CORDOVA, CO",30,15.6
"130",2013-12-10,"COM00080112","JOSE MARIA CORDOVA, CO",0.3,15.7
"131",2013-12-11,"COM00080112","JOSE MARIA CORDOVA, CO",2,17.2
"132",2013-12-12,"COM00080112","JOSE MARIA CORDOVA, CO",0,17
"133",2013-12-13,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.1
"134",2013-12-14,"COM00080112","JOSE MARIA CORDOVA, CO",0.3,17.6
"135",2013-12-15,"COM00080112","JOSE MARIA CORDOVA, CO",2,17.4
"136",2013-12-16,"COM00080112","JOSE MARIA CORDOVA, CO",4.1,17.8
"137",2013-12-17,"COM00080112","JOSE MARIA CORDOVA, CO",0.3,16.6
"138",2013-12-18,"COM00080112","JOSE MARIA CORDOVA, CO",8.9,15.9
"139",2013-12-19,"COM00080112","JOSE MARIA CORDOVA, CO",7.1,15.8
"140",2013-12-20,"COM00080112","JOSE MARIA CORDOVA, CO",0,15.6
"141",2013-12-21,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.6
"142",2013-12-22,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,15.9
"143",2013-12-23,"COM00080112","JOSE MARIA CORDOVA, CO",27.9,14.6
"144",2013-12-24,"COM00080112","JOSE MARIA CORDOVA, CO",13,14.9
"145",2013-12-25,"COM00080112","JOSE MARIA CORDOVA, CO",7.1,15.4
"146",2013-12-26,"COM00080112","JOSE MARIA CORDOVA, CO",5.1,15.9
"147",2013-12-27,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.9
"148",2013-12-28,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.3
"149",2013-12-29,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.2
"150",2013-12-30,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.4
"151",2013-12-31,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.9
"152",2014-01-01,"COM00080112","JOSE MARIA CORDOVA, CO",1,17.3
"153",2014-01-02,"COM00080112","JOSE MARIA CORDOVA, CO",2,16.1
"154",2014-01-03,"COM00080112","JOSE MARIA CORDOVA, CO",0.5,16.1
"155",2014-01-04,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.4
"156",2014-01-05,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.5
"157",2014-01-06,"COM00080112","JOSE MARIA CORDOVA, CO",5.1,15.1
"158",2014-01-07,"COM00080112","JOSE MARIA CORDOVA, CO",7.1,15.1
"159",2014-01-08,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.8
"160",2014-01-09,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,14.9
"161",2014-01-10,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.8
"162",2014-01-11,"COM00080112","JOSE MARIA CORDOVA, CO",0.5,16.4
"163",2014-01-12,"COM00080112","JOSE MARIA CORDOVA, CO",0,15.7
"164",2014-01-13,"COM00080112","JOSE MARIA CORDOVA, CO",0.5,17.1
"165",2014-01-14,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.8
"166",2014-01-15,"COM00080112","JOSE MARIA CORDOVA, CO",0.3,17.1
"167",2014-01-16,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.5
"168",2014-01-17,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.3
"169",2014-01-18,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.6
"170",2014-01-19,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.2
"171",2014-01-20,"COM00080112","JOSE MARIA CORDOVA, CO",0.3,17.2
"172",2014-01-21,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.1
"173",2014-01-22,"COM00080112","JOSE MARIA CORDOVA, CO",0.3,16.6
"174",2014-01-23,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.1
"175",2014-01-24,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.1
"176",2014-01-25,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.8
"177",2014-01-26,"COM00080112","JOSE MARIA CORDOVA, CO",1,15.9
"178",2014-01-27,"COM00080112","JOSE MARIA CORDOVA, CO",1,15.3
"179",2014-01-28,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.6
"180",2014-01-29,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.9
"181",2014-01-30,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,15.9
"182",2014-01-31,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,15.9
"183",2014-02-01,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.4
"184",2014-02-02,"COM00080112","JOSE MARIA CORDOVA, CO",2,16.8
"185",2014-02-03,"COM00080112","JOSE MARIA CORDOVA, CO",3,16.4
"186",2014-02-04,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.3
"187",2014-02-05,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.3
"188",2014-02-06,"COM00080112","JOSE MARIA CORDOVA, CO",5.1,15.7
"189",2014-02-07,"COM00080112","JOSE MARIA CORDOVA, CO",0.8,15.9
"190",2014-02-08,"COM00080112","JOSE MARIA CORDOVA, CO",0.3,16.5
"191",2014-02-09,"COM00080112","JOSE MARIA CORDOVA, CO",0.5,16.8
"192",2014-02-10,"COM00080112","JOSE MARIA CORDOVA, CO",3,17.6
"193",2014-02-11,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.9
"194",2014-02-12,"COM00080112","JOSE MARIA CORDOVA, CO",0.3,17.7
"195",2014-02-13,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.2
"196",2014-02-14,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17
"197",2014-02-15,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.5
"198",2014-02-16,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.9
"199",2014-02-17,"COM00080112","JOSE MARIA CORDOVA, CO",0.3,16.8
"200",2014-02-18,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.7
"201",2014-02-19,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.4
"202",2014-02-20,"COM00080112","JOSE MARIA CORDOVA, CO",1,16.6
"203",2014-02-21,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.1
"204",2014-02-22,"COM00080112","JOSE MARIA CORDOVA, CO",51.1,15.7
"205",2014-02-23,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.5
"206",2014-02-24,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.4
"207",2014-02-25,"COM00080112","JOSE MARIA CORDOVA, CO",0.8,17.1
"208",2014-02-26,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.2
"209",2014-02-27,"COM00080112","JOSE MARIA CORDOVA, CO",15,17.2
"210",2014-02-28,"COM00080112","JOSE MARIA CORDOVA, CO",14,16.2
"211",2014-03-01,"COM00080112","JOSE MARIA CORDOVA, CO",0.8,16.4
"212",2014-03-02,"COM00080112","JOSE MARIA CORDOVA, CO",0,15.8
"213",2014-03-03,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,15.9
"214",2014-03-04,"COM00080112","JOSE MARIA CORDOVA, CO",11.9,15.9
"215",2014-03-05,"COM00080112","JOSE MARIA CORDOVA, CO",4.1,16.6
"216",2014-03-06,"COM00080112","JOSE MARIA CORDOVA, CO",18,16.7
"217",2014-03-07,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.4
"218",2014-03-08,"COM00080112","JOSE MARIA CORDOVA, CO",7.9,15.7
"219",2014-03-09,"COM00080112","JOSE MARIA CORDOVA, CO",13,15.8
"220",2014-03-10,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.2
"221",2014-03-11,"COM00080112","JOSE MARIA CORDOVA, CO",6.1,17
"222",2014-03-12,"COM00080112","JOSE MARIA CORDOVA, CO",3,15.9
"223",2014-03-13,"COM00080112","JOSE MARIA CORDOVA, CO",0,16.5
"224",2014-03-14,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.5
"225",2014-03-15,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.1
"226",2014-03-16,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,16.3
"227",2014-03-17,"COM00080112","JOSE MARIA CORDOVA, CO",3,17.2
"228",2014-03-18,"COM00080112","JOSE MARIA CORDOVA, CO",2,16.7
"229",2014-03-19,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.5
"230",2014-03-20,"COM00080112","JOSE MARIA CORDOVA, CO",5.79961064243997,17.5
"231",2014-03-21,"COM00080112","JOSE MARIA CORDOVA, CO",0,17.9
